interaction_id	domain	question_type	static_or_dynamic	query_time	query	answer	alt_ans	page_files
7bb29eb4-12f9-45f9-bf8a-66832b3c8962	sports	post-processing	static	03/10/2024, 23:19:21 PT	how many 3-point attempts did steve nash average per game in seasons he made the 50-40-90 club?	4 3-points attempts per game	[]	"[""7bb29eb4-12f9-45f9-bf8a-66832b3c8962__p0.html"", ""7bb29eb4-12f9-45f9-bf8a-66832b3c8962__p1.html"", ""7bb29eb4-12f9-45f9-bf8a-66832b3c8962__p2.html"", ""7bb29eb4-12f9-45f9-bf8a-66832b3c8962__p3.html"", ""7bb29eb4-12f9-45f9-bf8a-66832b3c8962__p4.html""]"
a2486535-98e7-4876-9880-80374eac2fa8	movie	simple_w_condition	static	03/13/2024, 10:19:56 PT	what is a movie to feature a person who can create and control a device that can manipulate the laws of physics?	"a movie that features a person who can create and control a device that can manipulate the laws of physics was ""the core"" in 2003, which starred aaron eckhart as a scientist who invents a device that can manipulate the laws of physics, allowing him to control gravity, time, and matter, and he must use this technology to save the earth from destruction after the planet's core suddenly stops rotating."	[]	"[""a2486535-98e7-4876-9880-80374eac2fa8__p0.html"", ""a2486535-98e7-4876-9880-80374eac2fa8__p1.html"", ""a2486535-98e7-4876-9880-80374eac2fa8__p2.html"", ""a2486535-98e7-4876-9880-80374eac2fa8__p3.html"", ""a2486535-98e7-4876-9880-80374eac2fa8__p4.html""]"
161a89f3-7a70-4e12-a1a2-7832e098b0a7	finance	multi-hop	slow-changing	03/05/2024, 23:17:59 PT	where did the ceo of salesforce previously work?	marc benioff spent 13 years at oracle, before launching salesforce.	[]	"[""161a89f3-7a70-4e12-a1a2-7832e098b0a7__p0.html"", ""161a89f3-7a70-4e12-a1a2-7832e098b0a7__p1.html"", ""161a89f3-7a70-4e12-a1a2-7832e098b0a7__p2.html"", ""161a89f3-7a70-4e12-a1a2-7832e098b0a7__p3.html"", ""161a89f3-7a70-4e12-a1a2-7832e098b0a7__p4.html""]"
30395ec2-4247-4a23-8003-37dcfdf1531c	movie	simple	static	03/19/2024, 23:50:41 PT	which movie won the oscar best visual effects in 2021?	tenet	[]	"[""30395ec2-4247-4a23-8003-37dcfdf1531c__p0.html"", ""30395ec2-4247-4a23-8003-37dcfdf1531c__p1.html"", ""30395ec2-4247-4a23-8003-37dcfdf1531c__p2.html"", ""30395ec2-4247-4a23-8003-37dcfdf1531c__p3.html"", ""30395ec2-4247-4a23-8003-37dcfdf1531c__p4.html""]"
55b219e5-ba31-4318-a73d-551f0fb9c546	finance	multi-hop	real-time	03/05/2024, 23:18:31 PT	what company in the dow jones is the best performer today?	salesforce	[]	"[""55b219e5-ba31-4318-a73d-551f0fb9c546__p0.html"", ""55b219e5-ba31-4318-a73d-551f0fb9c546__p1.html"", ""55b219e5-ba31-4318-a73d-551f0fb9c546__p2.html"", ""55b219e5-ba31-4318-a73d-551f0fb9c546__p3.html"", ""55b219e5-ba31-4318-a73d-551f0fb9c546__p4.html""]"
8163a6f0-3238-4a69-ba60-a4a06090bc6f	movie	simple	static	03/19/2024, 23:35:16 PT	in 2004, which animated film was recognized with the best animated feature film oscar?	finding nemo	[]	"[""8163a6f0-3238-4a69-ba60-a4a06090bc6f__p0.html"", ""8163a6f0-3238-4a69-ba60-a4a06090bc6f__p1.html"", ""8163a6f0-3238-4a69-ba60-a4a06090bc6f__p2.html"", ""8163a6f0-3238-4a69-ba60-a4a06090bc6f__p3.html"", ""8163a6f0-3238-4a69-ba60-a4a06090bc6f__p4.html""]"
31f7aaad-f732-45b9-8cf8-5563974ba2ac	finance	simple	real-time	02/28/2024, 08:25:10 PT	on which date did sgml distribute dividends the first time	none of the days	"[""invalid question""]"	"[""31f7aaad-f732-45b9-8cf8-5563974ba2ac__p0.html"", ""31f7aaad-f732-45b9-8cf8-5563974ba2ac__p1.html"", ""31f7aaad-f732-45b9-8cf8-5563974ba2ac__p2.html"", ""31f7aaad-f732-45b9-8cf8-5563974ba2ac__p3.html"", ""31f7aaad-f732-45b9-8cf8-5563974ba2ac__p4.html""]"
06511362-0742-4608-8fdf-d192d0d53743	movie	post-processing	slow-changing	03/05/2024, 23:37:40 PT	what is the average gross for the top 3 pixar movies?	~$509,638,437	[]	"[""06511362-0742-4608-8fdf-d192d0d53743__p0.html"", ""06511362-0742-4608-8fdf-d192d0d53743__p1.html"", ""06511362-0742-4608-8fdf-d192d0d53743__p2.html"", ""06511362-0742-4608-8fdf-d192d0d53743__p3.html"", ""06511362-0742-4608-8fdf-d192d0d53743__p4.html""]"
99150c8b-556e-4800-b9e6-d33e6b5adfa5	open	set	static	03/11/2024, 05:24:02 PT	what are the countries that are located in southern africa.	angola, botswana, the comoros, eswatini, lesotho, madagascar, malawi, mauritius, mozambique, namibia, south africa, zambia, and zimbabwe.	[]	"[""99150c8b-556e-4800-b9e6-d33e6b5adfa5__p0.html"", ""99150c8b-556e-4800-b9e6-d33e6b5adfa5__p1.html"", ""99150c8b-556e-4800-b9e6-d33e6b5adfa5__p2.html"", ""99150c8b-556e-4800-b9e6-d33e6b5adfa5__p3.html"", ""99150c8b-556e-4800-b9e6-d33e6b5adfa5__p4.html""]"
ddfc9471-4496-4fef-bf05-994233fa4340	finance	multi-hop	fast-changing	03/13/2024, 09:06:39 PT	which company in the s&p 500 index has the highest percentage of green energy usage?	the company with the highest percentage of renewable energy usage in the s&p 500 index is the estee lauder companies inc., with over 139% of its total power usage coming from green energy.	[]	"[""ddfc9471-4496-4fef-bf05-994233fa4340__p0.html"", ""ddfc9471-4496-4fef-bf05-994233fa4340__p1.html"", ""ddfc9471-4496-4fef-bf05-994233fa4340__p2.html"", ""ddfc9471-4496-4fef-bf05-994233fa4340__p3.html"", ""ddfc9471-4496-4fef-bf05-994233fa4340__p4.html""]"
74ec83d9-0ebc-4f5e-b738-7cffbf262e74	open	post-processing	static	02/28/2024, 10:20:16 PT	what's the cooling source of the koeberg nuclear power station?	atlantic ocean	[]	"[""74ec83d9-0ebc-4f5e-b738-7cffbf262e74__p0.html"", ""74ec83d9-0ebc-4f5e-b738-7cffbf262e74__p1.html"", ""74ec83d9-0ebc-4f5e-b738-7cffbf262e74__p2.html"", ""74ec83d9-0ebc-4f5e-b738-7cffbf262e74__p3.html"", ""74ec83d9-0ebc-4f5e-b738-7cffbf262e74__p4.html""]"
9864fff2-af82-495c-ab18-a6c589635d29	open	false_premise	static	02/26/2024, 23:49:19 PT	when did hamburg become the biggest city of germany?	invalid question	[]	"[""9864fff2-af82-495c-ab18-a6c589635d29__p0.html"", ""9864fff2-af82-495c-ab18-a6c589635d29__p1.html"", ""9864fff2-af82-495c-ab18-a6c589635d29__p2.html"", ""9864fff2-af82-495c-ab18-a6c589635d29__p3.html"", ""9864fff2-af82-495c-ab18-a6c589635d29__p4.html""]"
